Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D6, D65, D66, D67, D68, D69, D7, D70, D8, D9",D_SOD-123,62,D,
"D57, D58, D59, D60, D61, D62, D63, D64",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,8,SK6812MINI,
J1,SSD1306-0.91-OLED-4pin-128x32,1,OLED,
QR${REFERENCE},httpsscstudios.tech,1,https://scstudios.tech,
"R1, R2, R3, R4, R7, R8",0201,6,R,
"R5, R6",0603,2,10k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW7, SW8, SW9",SW_choc_v1_HS_CPG135001S30_1u,62,SW_Push,
SW58,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,RotaryEncoder_Switch_MP,
"TP1, TP2, TP5",TestPoint_Pad_2.0x2.0mm,3,BAT,
"TP3, TP4, TP6",TestPoint_Pad_2.0x2.0mm,3,GND,
"U10, U5, U6",TP4056-18650,3,~,
"U11, U7, U8",SOT-23,3,MCP1700x-330xxTT,
"U3, U4",SOIC-28W_7.5x17.9mm_P1.27mm,2,MCP23017_SO,
